276630;000003;2000;;;;01.12.2023;;;;121,50;
276630;000003;2008;;;;01.12.2023;;;;17,00;
276630;000003;4200;;;;01.12.2023;;;3,00;;
276630;000003;4200;;;;01.12.2023;;;;23,00;
276630;000003;2013;;;;01.12.2023;;;;0,00;
276630;000010;2000;;;;01.12.2023;;;;132,00;
276630;000010;2008;;;;01.12.2023;;;;17,00;
276630;000010;4200;;;;01.12.2023;;;3,00;;
276630;000010;4200;;;;01.12.2023;;;;23,00;
276630;000010;2013;;;;01.12.2023;;;;0,00;
276630;000011;2004;;;;01.12.2023;;;;5,00;
276630;000030;2000;;;;01.12.2023;;;;0,00;
276630;000031;2000;;;;01.12.2023;;;;122,25;
276630;000031;2008;;;;01.12.2023;;;;17,00;
276630;000031;4200;;;;01.12.2023;;;4,00;;
276630;000031;4200;;;;01.12.2023;;;;29,00;
276630;000031;2013;;;;01.12.2023;;;;0,00;
276630;000031;6625;;;;01.12.2023;;;;3,00;
276630;000032;2000;;;;01.12.2023;;;;0,00;
276630;000032;2008;;;;01.12.2023;;;;0,00;
276630;000032;4200;;;;01.12.2023;;;3,00;;
276630;000032;4200;;;;01.12.2023;;;;23,00;
276630;000032;2013;;;;01.12.2023;;;;0,00;
